"HolderAddress","Balance","PendingBalanceUpdate"
"0x2f7a4639c671ae75e5fbaa7adf2c0cc1a43fb6ae","9E-09","No"
"0x30eba5ef6f7a0f21e0d989e3728eddc18ad5ab3f","2089.907331289","No"
"0x310b1905ac35b0dccb8721a13837afc351e71f3e","292.153197632","No"
"0x31b4261078c0c660b2d27bd3edd23ecdcdb4fe31","305957.341188393","No"
"0x31c31642b42fe6624032a3f8649445854993d96e","2E-09","No"
"0x32e4d068d8f32de4c84ef02a15d980b4526bbc48","7E-09","No"
"0x35367b9ef4e3cc6e61837f6ecfe3cc41f54b2cdd","184.940194369","No"
"0x360c027beda8e2af38263dc8d8b2c349b8a64fd9","8E-09","No"
"0x3714f326b88acaf3ec0b97540c87a75d4a16d95a","6E-09","No"
"0x37555def62d0ee8c78c1e92f6485c0bc8917897d","6E-09","No"
"0x3889cc06789a405f67ff5d710fd32f403577d339","8488.171953393","No"
"0x3954d5b8d7af321a00046ddf81d4b4afef71a8a8","1E-09","No"
"0x39be2ad07e574c3fac2bf5fbc629e0b44916c281","95539.203849965","No"
"0x3a2abf5ca075e81d9b6060ad06723b012447ea7e","1822.043175299","No"
"0x3a972fa13a6aaf8c6ee083d3a53aca4c9a04c133","5E-09","No"
"0x3aa66ae581ac95b49e670191a4230d3604b6fff0","53971.169154864","No"
"0x3b551c174098cdaa3a3220dff34c822ab59b8e87","20000","No"
"0x3c38a4dfe1459afebc4b15eaf24d1aea4729e3fd","42165.509308096","No"
"0x3c55d519271bf97ab656c3de7d018c0f3ab39998","5E-09","No"
"0x3e511d157637353ddfe7e66a23f008fe0670ada4","2992.187336559","No"
"0x3f1d444732250649a2b2a3b09f79eb3fe1016176","3690.998554838","No"
"0x400585d9a71edd24f4a6278bcd9c93c2e503b2e3","120004.197616803","No"
"0x40bd700840641aaaf67c6869451dbcf6c2562ae9","2E-09","No"
"0x412f0d547bd35cbb45ed64e79a2f876f24da1787","1200.368684852","No"
"0x41a249aeec54832f1497d693db24c90d62c25727","8238.261792405","No"
"0x41ddf057b4d57b3fc5aa071ae866d49fa0052d1e","669.454423914","No"
"0x426db4efa16433872008a9a6e9f13e6f85c73778","3E-09","No"
"0x428816633c95555d7352bef0aae14509c75bebbd","3827.407316049","No"
"0x43ec0e4215bc59a9f8a50e7c41e2701edd6b8f3c","1E-09","No"
"0x4486ea7ab8f843769f156ee6a19de4a55c1aa0d6","74117.411400597","No"
"0x4546f548d371eabe3efc86c3fe7e0accd65052b6","16290.042076361","No"
"0x470c57c7fa57ffcf5379e6230e8367c81476d78c","7E-09","No"
"0x477cf963e6156d57d4c649e5af0e6c22c17e8315","1650.089574995","No"
"0x47bcf15b4ace0b389450d9fb097903982ba0cddb","5E-09","No"
"0x484973db8e017f935957b6bbde5c687b7a070172","3627.344368937","No"
"0x4a6919d197c6113b4d7ba8c209eefa0a698045aa","10000","No"
"0x4ab52450addfa05eb0ebfd5fef4f833887873a12","87205.563588889","No"
"0x4cd54b5594c3fea1d220c396fc3a36d90f68150b","87.000053857","No"
"0x4d0185535a3e14a4e0c9d457cab8170679241186","5829.241774742","No"
"0x4df63584c3a6175acb289630a0d4b8f10bacff9a","10458.790612231","No"
"0x4e6f17ec4abb1b12c64a1b53a3bebc5804565da7","1093.086235726","No"
"0x4ec61ad0e1b4b50dd4de9abf73853ffc66893b03","6E-09","No"
"0x4ef6a74ae6673afe9283b7bbd3c0ef6ced415abe","480.684549666","No"
"0x50d494ce9be91dbca59d0cd55a710eba6b63010d","5E-09","No"
"0x5161fa6a9b0a35f5dd1dce2386394e9c31260f7c","7E-09","No"
"0x516bd7342ade27dd04e013743bea90d3f3f93533","400654.386028221","No"
"0x52b20ed8c61a381781f889a65164575c7a65d0bd","222190.403373553","No"
"0x541e311d3ab2cf24d1dffefed6bb6bd22e19b253","2.62822562","No"
"0x566a3586ba697f071dc2bb2372d751fc0d8bb6ef","551.859863271","No"
"0x56c6e66f36d1f5252b2ef7535408e83cfc968a3f","173114.295748684","No"
"0x56f1f7f2e94b5a0d1be4bc2d67c98637c784869c","1365.799335539","No"
"0x573b9b32e7c32e0a9e65cf90efd7bfa5ed847e2c","163425.088259695","No"
"0x590bd1ee10df406d8359de649f99cdf6efe0315d","6E-09","No"
"0x59cb4e5985b112853edfd2788ce70ac53776b735","2292.865383146","No"
"0x5a4c4ef626b3d57d3fa15bd16a4c1f50cee20d33","5.250401603","No"
"0x5b27bf64f29caea751b94bd2e21cbd01bd2aaf4e","50008.70651037","No"
"0x5b4bcb0289b08bee02f24b1b0624e77a080b4961","20.000151895","No"
"0x5bf724b06a8c3dcfc4ef0dfddd599c8472ab794b","86884.991194814","No"
"0x5c2dc5cd804e9029eb493cd99235c518e4f1e41a","1E-09","No"
"0x5cbc751312f0102359cb9de95ee590cfe44abb9c","940.398592497","No"
"0x5f31c4ff2dc74f3638f3c347994570dcbccf7859","9E-09","No"
"0x5f45cf55c0a1b8808d35a356ef224031a8079cdb","9717.905641943","No"
"0x6078d6811012c063c4323192d2d24c4e0260d2d7","1795.812497945","No"
"0x60e0e1a3f99aba72b631bb2db1b5b5b4e3bc0fcc","6E-09","No"
"0x619c4a99e4b6b15b2841b8ec7ac62837b072ebc2","5E-09","No"
"0x626def699c0ea2e68b1bd787e89078f82b0cb6a2","4E-09","No"
"0x62bf581d0465227bc9f5762b8b4a378ffb9fac64","100","No"
"0x64f7bfff37393cd86188331624c68bd0e10b6461","6E-09","No"
"0x656470d740335d01f63defa4ec196f7c239167cd","7E-09","No"
"0x65a8849ab2c48d7a8e825a5cbad707527a55c57f","140202.207113072","No"
"0x667040e0143b35bde2e9eea47163e8870f2119b8","7E-09","No"
"0x696eb09d8341c6186679c8da2bef11386a528d20","71315.440222896","No"
"0x6b6c276c9970ff5a701f8852bc97ac8e68d47ff7","30637.963638375","No"
"0x6b83b80c1d495d949765c39ba9ec3447c72a6269","60475.613656046","No"
"0x6c38d7a181a92accad0677bb9d746bf641ce82a3","10033.171542479","No"
"0x6e62f12e001de5ea78997962427f695bc70cb24c","1E-09","No"
"0x702537602d44af88e45af5457baa37453b09168f","1525.584229867","No"
"0x70fceab3ad2d21909f541f09f441c4f19ba66ddd","4E-09","No"
"0x712da6bf0341bc1bb9d51bd336a2d216f06bd846","9E-09","No"
"0x72e6ff70f1b0f6eec6ea3e7b947198190b2bc34e","9E-09","No"
"0x73da87a02f747c9557c99c7c4fce60114f9779e9","1E-09","No"
"0x740f22aea9d386342ace47e0b645fc10fb18723f","299341.074753135","No"
"0x752da4d5f3dd098fa012fb987064db0542d3ed6c","103246.677789809","No"
"0x75a8f7e306d7bdb33b3adb93505dbef9456cb92c","3E-09","No"
"0x7679366d2a5f76ea987ee9122fdf7a4d4e945b4b","5E-09","No"
"0x768d7246261b844ed7928d22f82c2b09d322215a","1E-09","No"
"0x77b6c27f16c18f3159975277e260874afbfef6b5","1580.26878911","No"
"0x77ca863e0e58b08d42b0023a6c230a441f5701ff","126283.491190672","No"
"0x78a1feadcf10aad4f4ed8f17311e3b9c54765f0a","6503.898516912","No"
"0x797c30652bd13e53145d792d58b422f9dd269ef3","8E-09","No"
"0x7983971c9274f208c1fdf46719251f26af85fc74","0.927526082","No"
"0x79b6931d092d6d2b6c0b35ac1765f10b402e8d97","4489.744370392","No"
"0x7b01492b2697f049229901f44409231e9fd9e0cc","1055.233139881","No"
"0x7b65278af4f6edab5165f30e6ed6b7e7861ce399","3E-09","No"
"0x7baed46f59006c3b9e3afe8660031ce27ce75c5b","1478.928789178","No"
"0x7beb65d8b3999291d06d3e419558bac5dadb4d42","124270.750884753","No"
"0x7c895e78b87905511791acd1267e996f7c450993","5E-09","No"
"0x7d4347d98ab607ee191fd18d4e677b3605e92f7c","15558.663341638","No"
"0x7da1597d436e620646fc3cced2f09547c268cb92","2E-09","No"
"0x7f0c37a4a1c09105d99dc5c8117e31941c88ca7d","7E-09","No"
"0x7f715a883c6a57aeaa7b313465be96cdd9675e29","215066.63678321","No"
"0x803643c137cb16f91e2f1a0fd132733d74c7d40b","2962.483483626","No"
"0x8095090183357de6a88b2a91c8c569f162b2ce5f","4E-09","No"
"0x80b415f42c9dfa4116c6f37e32714d401427e6e8","4E-09","No"
"0x8176d79f786209f2d880137ee63b1ef9b40419ca","1725.66862452","No"
"0x81d456689a9b8fa05c0c3c0aea38fcbe019e15a5","733.117509024","No"
"0x8334c7801184c459483ceeea6fa4c4c251b48ee0","31.498578235","No"
"0x83aa1d616a2d981fbda2d76894d68819dad72486","2500.689759051","No"
